time,pos_error
6.198883056640625e-06,0.1968537449831674
0.03301191329956055,0.1935316199170794
0.06642913818359375,0.1887849111446857
0.09965825080871582,0.18332671569948086
0.13300108909606934,0.17706727659070207
0.16635394096374512,0.17152837666925033
0.19989252090454102,0.16801838269429104
0.23294854164123535,0.15864662003854932
0.26637744903564453,0.15214511453177237
0.2996048927307129,0.14584404612826396
0.3330960273742676,0.1390843967138627
0.3665773868560791,0.13331336549042955
0.3998074531555176,0.12661465681502568
0.4329960346221924,0.12065086877653126
0.46625280380249023,0.11396833048469883
0.49951672554016113,0.10773754284837661
0.5329625606536865,0.10121486812762753
0.5665364265441895,0.09509361924191859
0.5997409820556641,0.08856011559388266
0.6329224109649658,0.08272027893402015
0.6662521362304688,0.07616520338985473
0.6995832920074463,0.0700297991166012
0.7331185340881348,0.06371972735442943
0.7666759490966797,0.057878415931777234
0.7996530532836914,0.05128368249695109
0.8330414295196533,0.04539325613875331
0.8663265705108643,0.03872928422199087
0.8996267318725586,0.033230457120484516
0.9330778121948242,0.027332145769638397
0.9664244651794434,0.021739017717737553
0.9997057914733887,0.01699514363968154
1.0329201221466064,0.013397468063649075
1.0661959648132324,0.012595088366101759
1.099534034729004,0.014759009505066353
1.1331274509429932,-0.01892944876147616
1.1662967205047607,-0.02380782620264176
1.199733018875122,-0.029666458796181558
1.233091115951538,-0.03499375331685334
1.2663252353668213,-0.040552426477153576
1.2997937202453613,-0.04587306791376975
1.3332006931304932,-0.051969857217812464
1.3667280673980713,-0.05736629705004297
1.399677038192749,-0.06206028150620708
1.4328763484954834,-0.06700157373888964
1.4660882949829102,-0.069848388759107
1.4996137619018555,-0.07313501741685188
1.5330054759979248,-0.07575697665796093
1.5666265487670898,-0.07708745707307371
1.5998296737670898,-0.07812368283913722
1.6329779624938965,-0.07876102500962956
1.666356086730957,-0.07893912482162752
1.6996948719024658,-0.07902539795159264
1.7332429885864258,-0.07899344884319232
1.766718864440918,-0.07867085420412595
1.7996361255645752,-0.07829461980043785
1.8329238891601562,-0.0776894028150414
1.8662233352661133,-0.07684561564907787
1.899623155593872,-0.07535736982572139
1.9330193996429443,-0.07364180489882462
1.9666564464569092,-0.07192073017110662
1.999894618988037,-0.0702967303353358
2.0330166816711426,-0.06850667476473313
